run_id,model,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_lug_100_1024,afroxlmr,lug,100,1024,0.440440078926921,0.4437800353828595,70.22087216377258
afroxlmr_lug_100_123,afroxlmr,lug,100,123,0.4419437229437229,0.475245514437882,74.24829459190369
afroxlmr_lug_100_42,afroxlmr,lug,100,42,0.6131042128603104,0.6646844361947882,69.35867166519165
afroxlmr_lug_100_456,afroxlmr,lug,100,456,0.45375138427464,0.4409589982940399,74.52604937553406
afroxlmr_lug_100_789,afroxlmr,lug,100,789,0.7169130675050337,0.7077461378461894,70.05982708930969
afroxlmr_lug_250_1024,afroxlmr,lug,250,1024,0.7982767881819075,0.8254055654279869,73.54512619972229
afroxlmr_lug_250_123,afroxlmr,lug,250,123,0.7741921976928097,0.8024048037460181,78.1256787776947
afroxlmr_lug_250_42,afroxlmr,lug,250,42,0.7286459916354747,0.7934054386217965,75.77235770225525
afroxlmr_lug_250_456,afroxlmr,lug,250,456,0.7845844613488153,0.7140573541239875,76.10155487060547
afroxlmr_lug_250_789,afroxlmr,lug,250,789,0.8534070446360361,0.8526294922447792,74.29990434646606
afroxlmr_lug_500_1024,afroxlmr,lug,500,1024,0.8387432556245547,0.8809677441573364,74.28651571273804
afroxlmr_lug_500_123,afroxlmr,lug,500,123,0.8551152384086206,0.8641907373451447,79.40321063995361
afroxlmr_lug_500_42,afroxlmr,lug,500,42,0.883390282078401,0.8893353435937464,90.70645761489868
afroxlmr_lug_500_456,afroxlmr,lug,500,456,0.878098188417956,0.895575727733337,92.75630736351012
afroxlmr_lug_500_789,afroxlmr,lug,500,789,0.8989145658263306,0.8823470979461667,95.02107167243958
afroxlmr_lug_750_1024,afroxlmr,lug,750,1024,0.8865857560863111,0.8855101311086678,87.57655358314514
afroxlmr_lug_750_123,afroxlmr,lug,750,123,0.880840750158932,0.8910004863186249,85.99908566474915
afroxlmr_lug_750_42,afroxlmr,lug,750,42,0.8645880087370058,0.8789423441696254,94.136812210083
afroxlmr_lug_750_456,afroxlmr,lug,750,456,0.8947848675506113,0.8887071632055797,90.90879845619202
afroxlmr_lug_750_789,afroxlmr,lug,750,789,0.8805946014769545,0.8888130199387206,93.05000376701356
afroxlmr_lug_full_42,afroxlmr,lug,full,42,0.8893466565796664,0.8588438929235915,91.42165565490724
afroxlmr_run_100_1024,afroxlmr,run,100,1024,0.8797908421612821,0.8706491293424509,72.53082299232483
afroxlmr_run_100_123,afroxlmr,run,100,123,0.8973017882430662,0.847046812791952,72.9993531703949
afroxlmr_run_100_42,afroxlmr,run,100,42,0.897829432362122,0.853497029706589,66.81082725524902
afroxlmr_run_100_456,afroxlmr,run,100,456,0.9034988288858258,0.8630158020259284,71.97327089309692
afroxlmr_run_100_789,afroxlmr,run,100,789,0.919950986559148,0.8720277802181852,68.17196941375732
afroxlmr_run_250_1024,afroxlmr,run,250,1024,0.9035769240696582,0.902870502616146,74.50230407714844
afroxlmr_run_250_123,afroxlmr,run,250,123,0.9280221491922128,0.90476816121703,80.17383050918579
afroxlmr_run_250_42,afroxlmr,run,250,42,0.9239082813427276,0.8932446747825514,73.5594654083252
afroxlmr_run_250_456,afroxlmr,run,250,456,0.9126038969046738,0.8950909536658852,83.36653900146484
afroxlmr_run_250_789,afroxlmr,run,250,789,0.9287720462061938,0.8849538604726298,73.47055959701538
afroxlmr_run_500_1024,afroxlmr,run,500,1024,0.9114660888628512,0.8847021778996383,82.59953784942627
afroxlmr_run_500_123,afroxlmr,run,500,123,0.922150320207077,0.8995520648840407,76.7538800239563
afroxlmr_run_500_42,afroxlmr,run,500,42,0.922785723434403,0.8929559248166312,87.54682326316833
afroxlmr_run_500_456,afroxlmr,run,500,456,0.9292258364400428,0.8901046889051959,80.43551540374756
afroxlmr_run_500_789,afroxlmr,run,500,789,0.9306087653596482,0.9093162300111428,89.82364583015442
afroxlmr_run_750_1024,afroxlmr,run,750,1024,0.917210930400706,0.8957719966338447,86.48850893974304
afroxlmr_run_750_123,afroxlmr,run,750,123,0.9140015102337744,0.8846595704401591,75.4185221195221
afroxlmr_run_750_42,afroxlmr,run,750,42,0.9179064320952282,0.8965158759089099,91.39070892333984
afroxlmr_run_750_456,afroxlmr,run,750,456,0.9163367862868416,0.8792313587553086,94.54439163208008
afroxlmr_run_750_789,afroxlmr,run,750,789,0.9303709895429688,0.8999903601840377,79.00398874282837
afroxlmr_run_full_42,afroxlmr,run,full,42,0.92184697567056,0.8920499962116862,106.46517872810364
afroxlmr_sna_100_1024,afroxlmr,sna,100,1024,0.8379155895507013,0.8966094268019513,67.78325128555298
afroxlmr_sna_100_123,afroxlmr,sna,100,123,0.8869688979445077,0.8912983158579504,70.15188789367676
afroxlmr_sna_100_42,afroxlmr,sna,100,42,0.8629275045131822,0.8693779279869208,68.01414847373962
afroxlmr_sna_100_456,afroxlmr,sna,100,456,0.8763129513129513,0.9162149028011028,58.82814311981201
afroxlmr_sna_100_789,afroxlmr,sna,100,789,0.8539814442612675,0.9024536456952652,68.54577970504761
afroxlmr_sna_250_1024,afroxlmr,sna,250,1024,0.8916224750008636,0.91284276161998,73.3724479675293
afroxlmr_sna_250_123,afroxlmr,sna,250,123,0.9022520995685456,0.9209268884335734,58.84250831604004
afroxlmr_sna_250_42,afroxlmr,sna,250,42,0.8865691360305052,0.9078376127760144,79.31512713432312
afroxlmr_sna_250_456,afroxlmr,sna,250,456,0.9133069827876736,0.9323121930275642,69.18905377388
afroxlmr_sna_250_789,afroxlmr,sna,250,789,0.8753451743964077,0.9160027118596248,72.81387400627136
afroxlmr_sna_500_1024,afroxlmr,sna,500,1024,0.907848597260362,0.9266875644051896,93.63121128082275
afroxlmr_sna_500_123,afroxlmr,sna,500,123,0.9189179824639442,0.915684429684283,83.55833745002747
afroxlmr_sna_500_42,afroxlmr,sna,500,42,0.907238889315035,0.9263554071126724,71.96172523498535
afroxlmr_sna_500_456,afroxlmr,sna,500,456,0.918991519867858,0.929618755765252,90.25964951515198
afroxlmr_sna_500_789,afroxlmr,sna,500,789,0.913343091375128,0.9131888635909547,96.75218033790588
afroxlmr_sna_750_1024,afroxlmr,sna,750,1024,0.8869995777521602,0.9295923350142088,93.53765106201172
afroxlmr_sna_750_123,afroxlmr,sna,750,123,0.9185258986680004,0.9212045980399832,71.13153266906738
afroxlmr_sna_750_42,afroxlmr,sna,750,42,0.9186068482906736,0.9322132806639268,94.8324966430664
afroxlmr_sna_750_456,afroxlmr,sna,750,456,0.8978554162286302,0.9268437999728576,66.43591690063477
afroxlmr_sna_750_789,afroxlmr,sna,750,789,0.9132420519014224,0.92958518425872,85.3868682384491
afroxlmr_sna_full_42,afroxlmr,sna,full,42,0.923843413498586,0.931697936204022,97.11621022224426
afroxlmr_swa_100_1024,afroxlmr,swa,100,1024,0.6895271511127606,0.6922747556570271,68.16869378089905
afroxlmr_swa_100_123,afroxlmr,swa,100,123,0.7863081257802483,0.8129562752362264,72.04167795181274
afroxlmr_swa_100_42,afroxlmr,swa,100,42,0.7604150765264498,0.7773790223068934,71.7389268875122
afroxlmr_swa_100_456,afroxlmr,swa,100,456,0.8223748437623479,0.8041901198372314,71.97173881530762
afroxlmr_swa_100_789,afroxlmr,swa,100,789,0.8258696792081509,0.8273030613195494,68.82034850120544
afroxlmr_swa_250_1024,afroxlmr,swa,250,1024,0.8267903886524967,0.8126154203025012,73.35921907424927
afroxlmr_swa_250_123,afroxlmr,swa,250,123,0.8278729351693582,0.8421973426066113,77.14647674560547
afroxlmr_swa_250_42,afroxlmr,swa,250,42,0.833496679289005,0.8224687642202015,76.43801689147949
afroxlmr_swa_250_456,afroxlmr,swa,250,456,0.836014643765442,0.846927653157612,71.52494549751282
afroxlmr_swa_250_789,afroxlmr,swa,250,789,0.8255146215164473,0.840805429047935,66.812504529953
afroxlmr_swa_500_1024,afroxlmr,swa,500,1024,0.8427298025674697,0.826123890761585,86.19889640808105
afroxlmr_swa_500_123,afroxlmr,swa,500,123,0.8561322543977314,0.8480645127145938,93.0335018634796
afroxlmr_swa_500_42,afroxlmr,swa,500,42,0.8391001734738937,0.8304500601409924,70.10970664024353
afroxlmr_swa_500_456,afroxlmr,swa,500,456,0.8398355955681127,0.8305323848114625,90.56884479522704
afroxlmr_swa_500_789,afroxlmr,swa,500,789,0.8526040969399011,0.8436365488951416,94.63917541503906
afroxlmr_swa_750_1024,afroxlmr,swa,750,1024,0.8428488112472475,0.8338981879346289,91.76084637641908
afroxlmr_swa_750_123,afroxlmr,swa,750,123,0.8742756687572758,0.8396506645143705,76.8262631893158
afroxlmr_swa_750_42,afroxlmr,swa,750,42,0.8730695923052996,0.8528370065504799,89.47149705886841
afroxlmr_swa_750_456,afroxlmr,swa,750,456,0.8723876932965877,0.8412101484204105,92.56623554229736
afroxlmr_swa_750_789,afroxlmr,swa,750,789,0.8547097429583732,0.8457328981967055,70.55259537696838
afroxlmr_swa_full_42,afroxlmr,swa,full,42,0.8780878532001547,0.8341139452642002,136.14207196235657
xlmr_lug_100_1024,xlmr,lug,100,1024,0.374402955535031,0.3773453562351265,863.4640262126923
xlmr_lug_100_123,xlmr,lug,100,123,0.3812049393263715,0.400998971476789,864.057247877121
xlmr_lug_100_42,xlmr,lug,100,42,0.2840909090909091,0.2776659401074567,498.1682589054108
xlmr_lug_100_456,xlmr,lug,100,456,0.3978590927788789,0.3846995538351654,954.3074896335602
xlmr_lug_100_789,xlmr,lug,100,789,0.4315308534058534,0.3828135462532719,1002.4560205936432
xlmr_lug_250_1024,xlmr,lug,250,1024,0.4625607402306432,0.449493870172767,1080.2887542247772
xlmr_lug_250_123,xlmr,lug,250,123,0.5115548513156168,0.4676629887272928,1056.5383787155151
xlmr_lug_250_42,xlmr,lug,250,42,0.5403886751327986,0.5635097339133214,1014.2841997146606
xlmr_lug_250_456,xlmr,lug,250,456,0.4721239544768956,0.4127356537569844,1081.7413232326508
xlmr_lug_250_789,xlmr,lug,250,789,0.5256171756171756,0.4911084388159646,1113.2120146751404
xlmr_lug_500_1024,xlmr,lug,500,1024,0.5894648555764668,0.6201308478761225,84.97800946235657
xlmr_lug_500_123,xlmr,lug,500,123,0.6533053395485338,0.6661709758615261,86.98269701004028
xlmr_lug_500_42,xlmr,lug,500,42,0.6383429683608096,0.6728013609364916,1000.9864528179168
xlmr_lug_500_456,xlmr,lug,500,456,0.6160054013265023,0.5827644016750233,87.0958616733551
xlmr_lug_500_789,xlmr,lug,500,789,0.7246520522084432,0.7015331968608405,85.66379618644714
xlmr_lug_750_1024,xlmr,lug,750,1024,0.6750844653430862,0.6712643277215705,85.76694250106812
xlmr_lug_750_123,xlmr,lug,750,123,0.6830631901713144,0.6517026043016826,86.265132188797
xlmr_lug_750_42,xlmr,lug,750,42,0.6463728076144928,0.6967762717402703,83.65427565574646
xlmr_lug_750_456,xlmr,lug,750,456,0.6640377099456384,0.66963269833225,88.1424491405487
xlmr_lug_750_789,xlmr,lug,750,789,0.6995361953566288,0.7707629209098206,85.34910416603088
xlmr_lug_full_42,xlmr,lug,full,42,0.6927352164194268,0.726735403989451,93.25962924957275
xlmr_run_100_1024,xlmr,run,100,1024,0.5678128959821388,0.547389003910743,71.61934757232666
xlmr_run_100_123,xlmr,run,100,123,0.6326749567040174,0.6111302082204125,67.1288902759552
xlmr_run_100_42,xlmr,run,100,42,0.6247553216721792,0.601729782991321,65.03376245498657
xlmr_run_100_456,xlmr,run,100,456,0.7145811566389226,0.6993091897777012,68.3616988658905
xlmr_run_100_789,xlmr,run,100,789,0.7215554542507824,0.6833622084951584,70.54274129867554
xlmr_run_250_1024,xlmr,run,250,1024,0.7498254187393626,0.7292012755912385,74.81248426437378
xlmr_run_250_123,xlmr,run,250,123,0.7879371393509609,0.7639630908518442,83.80816388130188
xlmr_run_250_42,xlmr,run,250,42,0.7283617193130396,0.6894720317961329,72.37192606925964
xlmr_run_250_456,xlmr,run,250,456,0.7896732465377964,0.7686379416049128,80.01380848884583
xlmr_run_250_789,xlmr,run,250,789,0.8006402493687153,0.7604874877533554,69.56429409980774
xlmr_run_500_1024,xlmr,run,500,1024,0.8060451669500251,0.8105754492410243,90.88248014450072
xlmr_run_500_123,xlmr,run,500,123,0.854634310922411,0.7958905459613895,91.89915800094604
xlmr_run_500_42,xlmr,run,500,42,0.8354541995937766,0.8061536086181182,94.76788592338562
xlmr_run_500_456,xlmr,run,500,456,0.8501036988484701,0.8002969307089361,88.42522764205933
xlmr_run_500_789,xlmr,run,500,789,0.847681781776347,0.8038421701394952,84.09145832061768
xlmr_run_750_1024,xlmr,run,750,1024,0.8366167727844409,0.8293102896007539,85.11192560195923
xlmr_run_750_123,xlmr,run,750,123,0.8714736208948988,0.8147818483918363,94.44935965538023
xlmr_run_750_42,xlmr,run,750,42,0.8584432582677425,0.8466887908554459,88.11784720420837
xlmr_run_750_456,xlmr,run,750,456,0.8583870090615557,0.8274427653649068,86.68276643753052
xlmr_run_750_789,xlmr,run,750,789,0.8521721251155191,0.7933399955391238,96.14077806472778
xlmr_run_full_42,xlmr,run,full,42,0.9132139686001028,0.8338303051347036,103.9157772064209
xlmr_sna_100_1024,xlmr,sna,100,1024,0.7351026702378052,0.7424787456769072,67.03526663780212
xlmr_sna_100_123,xlmr,sna,100,123,0.6999357851829789,0.7335487457438677,71.890216588974
xlmr_sna_100_42,xlmr,sna,100,42,0.7872654712348114,0.7959515468969858,69.27312064170837
xlmr_sna_100_456,xlmr,sna,100,456,0.6579991532432876,0.7517952909628282,70.95988035202026
xlmr_sna_100_789,xlmr,sna,100,789,0.7374800543117376,0.7701459880391134,71.05366039276123
xlmr_sna_250_1024,xlmr,sna,250,1024,0.8061367036976793,0.8232935082635553,84.32955574989319
xlmr_sna_250_123,xlmr,sna,250,123,0.787198660071595,0.8628546992973851,79.96807742118835
xlmr_sna_250_42,xlmr,sna,250,42,0.8225830102407943,0.8293156017109329,78.5705497264862
xlmr_sna_250_456,xlmr,sna,250,456,0.7787653596409779,0.8246170562730036,72.7647864818573
xlmr_sna_250_789,xlmr,sna,250,789,0.7963699472262392,0.8266024194093737,72.02541399002075
xlmr_sna_500_1024,xlmr,sna,500,1024,0.8391055898904813,0.8815205310756337,90.62235164642334
xlmr_sna_500_123,xlmr,sna,500,123,0.8601794139993998,0.8611174667093764,89.57073593139648
xlmr_sna_500_42,xlmr,sna,500,42,0.8258930217614392,0.8674053206716189,96.08239912986755
xlmr_sna_500_456,xlmr,sna,500,456,0.8590461216784007,0.8594571921441856,93.04373693466188
xlmr_sna_500_789,xlmr,sna,500,789,0.8149985149985151,0.8623210709155104,93.25615334510805
xlmr_sna_750_1024,xlmr,sna,750,1024,0.8477465510533955,0.8750153419862403,90.12090253829956
xlmr_sna_750_123,xlmr,sna,750,123,0.8803395025214525,0.8757324524545214,96.45884013175964
xlmr_sna_750_42,xlmr,sna,750,42,0.8499778334385979,0.8678763954891048,78.77040791511536
xlmr_sna_750_456,xlmr,sna,750,456,0.8647769157853394,0.888318507635529,92.58258247375488
xlmr_sna_750_789,xlmr,sna,750,789,0.8524473054565966,0.8617800157305936,81.51005697250366
xlmr_sna_full_42,xlmr,sna,full,42,0.8700507552072008,0.9045559841295016,117.51558542251588
xlmr_swa_100_1024,xlmr,swa,100,1024,0.769183865756067,0.7864770246089012,71.57827043533325
xlmr_swa_100_123,xlmr,swa,100,123,0.7609022175765845,0.7703417445216884,74.61562943458557
xlmr_swa_100_42,xlmr,swa,100,42,0.7408706707167672,0.7609600664647282,70.31811499595642
xlmr_swa_100_456,xlmr,swa,100,456,0.7995406260788916,0.8074208489799392,68.85540771484375
xlmr_swa_100_789,xlmr,swa,100,789,0.822172452954456,0.8041113325592006,74.40623617172241
xlmr_swa_250_1024,xlmr,swa,250,1024,0.8308017192565426,0.8115055000617986,76.50461411476135
xlmr_swa_250_123,xlmr,swa,250,123,0.8135547424165755,0.800721519914678,75.82197737693787
xlmr_swa_250_42,xlmr,swa,250,42,0.825732360479901,0.8380940569498345,80.06200957298279
xlmr_swa_250_456,xlmr,swa,250,456,0.8187450410381736,0.8143362210816242,64.90879321098328
xlmr_swa_250_789,xlmr,swa,250,789,0.8448375155578361,0.8175126038741243,73.30370211601257
