run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_yor_full_789,afroxlmr,afrisenti,yor,full,789,0.7776420376810533,0.7094671054105941,1378.0123965740204
afroxlmr_yor_full_123,afroxlmr,afrisenti,yor,full,123,0.7683047454044256,0.7131417493526513,1374.6171705722809
afroxlmr_yor_full_1024,afroxlmr,afrisenti,yor,full,1024,0.7682983969445073,0.7203042187120418,1350.126703262329
afroxlmr_yor_full_456,afroxlmr,afrisenti,yor,full,456,0.7761340488805571,0.7224144534483588,1346.2260854244232
afroxlmr_yor_full_42,afroxlmr,afrisenti,yor,full,42,0.779497039780625,0.7282945311620478,1347.9022860527039
afroxlmr_yor_750_1024,afroxlmr,afrisenti,yor,750,1024,0.6572049248178561,0.6063735581694762,219.59503078460693
afroxlmr_yor_750_789,afroxlmr,afrisenti,yor,750,789,0.6770777475053933,0.591854806758351,208.76668310165405
afroxlmr_yor_750_456,afroxlmr,afrisenti,yor,750,456,0.677346895685164,0.6239742933347242,214.62954998016357
afroxlmr_yor_750_42,afroxlmr,afrisenti,yor,750,42,0.6566882392881606,0.5954791971592093,208.7667589187622
afroxlmr_yor_500_1024,afroxlmr,afrisenti,yor,500,1024,0.6591462223473925,0.5985434561186487,194.77126336097717
afroxlmr_yor_750_123,afroxlmr,afrisenti,yor,750,123,0.6498350629479688,0.5871406541544275,187.60063815116882
afroxlmr_yor_500_789,afroxlmr,afrisenti,yor,500,789,0.6547820740206083,0.5875301563982717,194.05009412765503
afroxlmr_yor_500_456,afroxlmr,afrisenti,yor,500,456,0.6606930386290232,0.5948365386596235,193.1519660949707
afroxlmr_yor_500_123,afroxlmr,afrisenti,yor,500,123,0.6380212292906446,0.5817627853026549,198.13474440574646
afroxlmr_yor_500_42,afroxlmr,afrisenti,yor,500,42,0.6454065260992211,0.576732322232691,187.12060451507568
afroxlmr_yor_250_789,afroxlmr,afrisenti,yor,250,789,0.6121390541681047,0.5716462268699966,150.40285682678223
afroxlmr_yor_250_1024,afroxlmr,afrisenti,yor,250,1024,0.58686714098006,0.5199938463496414,138.340345621109
afroxlmr_yor_250_456,afroxlmr,afrisenti,yor,250,456,0.6323942442770347,0.5674584206955473,147.39321112632751
afroxlmr_yor_250_123,afroxlmr,afrisenti,yor,250,123,0.5967279880027939,0.5325365197217184,149.41466569900513
afroxlmr_yor_250_42,afroxlmr,afrisenti,yor,250,42,0.6333991172496815,0.5443463564416453,145.98626399040222
afroxlmr_yor_100_1024,afroxlmr,afrisenti,yor,100,1024,0.5381060368371138,0.48416476542353915,124.60971713066101
afroxlmr_yor_100_789,afroxlmr,afrisenti,yor,100,789,0.5790744752888167,0.5290341202369188,130.54821610450745
afroxlmr_swa_full_1024,afroxlmr,afrisenti,swa,full,1024,0.628552824873649,0.599732073442991,179.6616780757904
afroxlmr_yor_100_456,afroxlmr,afrisenti,yor,100,456,0.5808754978702706,0.5434546214186207,125.64545273780823
afroxlmr_swa_full_789,afroxlmr,afrisenti,swa,full,789,0.6216707132384945,0.6213247932610481,186.13717579841614
afroxlmr_yor_100_123,afroxlmr,afrisenti,yor,100,123,0.5646221332711879,0.532433369965581,109.57307052612305
afroxlmr_swa_full_456,afroxlmr,afrisenti,swa,full,456,0.6224227776668868,0.6122809111754699,173.94195747375488
afroxlmr_yor_100_42,afroxlmr,afrisenti,yor,100,42,0.5764831312484059,0.46034301917782605,127.7927827835083
afroxlmr_swa_full_42,afroxlmr,afrisenti,swa,full,42,0.621715721529537,0.5937059889196804,179.12313866615295
afroxlmr_swa_full_123,afroxlmr,afrisenti,swa,full,123,0.6078040511464383,0.6188798602838984,138.02708292007446
afroxlmr_swa_750_1024,afroxlmr,afrisenti,swa,750,1024,0.6176759887280242,0.5864309512858725,89.67966389656067
afroxlmr_swa_750_789,afroxlmr,afrisenti,swa,750,789,0.6228488154442654,0.6133753799261294,91.12594985961914
afroxlmr_pcm_full_42,afroxlmr,afrisenti,pcm,full,42,0.7599588878027836,0.6625867807525878,508.02755069732666
afroxlmr_pcm_full_456,afroxlmr,afrisenti,pcm,full,456,0.7590130268436125,0.6563537457316849,499.3014545440674
afroxlmr_swa_750_123,afroxlmr,afrisenti,swa,750,123,0.589893973468172,0.5957854507870236,93.9005720615387
afroxlmr_swa_750_456,afroxlmr,afrisenti,swa,750,456,0.6257488770074938,0.5913407992479589,90.99240946769714
afroxlmr_pcm_full_123,afroxlmr,afrisenti,pcm,full,123,0.7696222530381891,0.6689398543387063,456.2403483390808
afroxlmr_swa_750_42,afroxlmr,afrisenti,swa,750,42,0.6144990771600053,0.6185134303030008,88.36122035980225
afroxlmr_swa_500_1024,afroxlmr,afrisenti,swa,500,1024,0.6280440896479169,0.5869788224353892,90.59562611579895
afroxlmr_swa_500_789,afroxlmr,afrisenti,swa,500,789,0.6117059212284486,0.5842449139749731,91.29069709777832
afroxlmr_pcm_full_1024,afroxlmr,afrisenti,pcm,full,1024,0.7618351883414125,0.6748641699933927,353.8460087776184
afroxlmr_swa_500_456,afroxlmr,afrisenti,swa,500,456,0.600233679907222,0.5815199604216614,100.27592253684998
afroxlmr_swa_500_123,afroxlmr,afrisenti,swa,500,123,0.5989757033919045,0.5834881091800055,90.42479872703552
afroxlmr_swa_500_42,afroxlmr,afrisenti,swa,500,42,0.6135894631031221,0.6205463314713405,93.75039744377136
afroxlmr_pcm_full_789,afroxlmr,afrisenti,pcm,full,789,0.757692807511841,0.6738855794445425,325.9333279132843
afroxlmr_swa_250_1024,afroxlmr,afrisenti,swa,250,1024,0.6187509074143811,0.5823033987303015,62.795504570007324
afroxlmr_swa_250_789,afroxlmr,afrisenti,swa,250,789,0.5904562951382385,0.5706835753744872,58.61123275756836
afroxlmr_swa_250_456,afroxlmr,afrisenti,swa,250,456,0.582924543550889,0.5489496356700112,59.095179080963135
afroxlmr_swa_250_42,afroxlmr,afrisenti,swa,250,42,0.6102948676909521,0.583503140074228,64.06113624572754
afroxlmr_swa_250_123,afroxlmr,afrisenti,swa,250,123,0.5757854376023716,0.5718043116666397,58.583415508270264
afroxlmr_swa_100_1024,afroxlmr,afrisenti,swa,100,1024,0.5229261968687224,0.5179989649818872,44.43007564544678
afroxlmr_swa_100_456,afroxlmr,afrisenti,swa,100,456,0.5644247080367459,0.5253537596798231,53.38623595237732
afroxlmr_swa_100_789,afroxlmr,afrisenti,swa,100,789,0.5753789510704616,0.5545960350968829,50.03267312049866
afroxlmr_orm_full_456,afroxlmr,afrisenti,orm,full,456,0.2675430223063178,0.33502160122319313,841.0626494884491
afroxlmr_swa_100_123,afroxlmr,afrisenti,swa,100,123,0.6001485128290472,0.5438907762091326,50.27007579803467
afroxlmr_swa_100_42,afroxlmr,afrisenti,swa,100,42,0.5610803106057548,0.5186551838158134,53.94125509262085
afroxlmr_pcm_750_1024,afroxlmr,afrisenti,pcm,750,1024,0.7001177032536734,0.6298782469537157,81.69915843009949
afroxlmr_pcm_500_1024,afroxlmr,afrisenti,pcm,500,1024,0.6945922103771616,0.6203947167341717,100.28497076034546
afroxlmr_pcm_750_456,afroxlmr,afrisenti,pcm,750,456,0.6968272599954084,0.6032960059619911,88.52823328971863
afroxlmr_pcm_750_789,afroxlmr,afrisenti,pcm,750,789,0.7151760912460161,0.6255427446918297,79.85418581962585
afroxlmr_pcm_750_42,afroxlmr,afrisenti,pcm,750,42,0.7031929729801211,0.6186939376650132,93.04226446151733
afroxlmr_pcm_750_123,afroxlmr,afrisenti,pcm,750,123,0.7136797773336027,0.6278648645150829,86.54330897331238
afroxlmr_pcm_500_789,afroxlmr,afrisenti,pcm,500,789,0.7108969751824108,0.6196196915192249,93.41571545600891
afroxlmr_pcm_500_456,afroxlmr,afrisenti,pcm,500,456,0.6882782499211036,0.6020213000029797,107.98927211761475
afroxlmr_pcm_500_123,afroxlmr,afrisenti,pcm,500,123,0.6999500058862484,0.6083705335005253,107.12122178077698
afroxlmr_pcm_500_42,afroxlmr,afrisenti,pcm,500,42,0.6950745145436414,0.6050032311890762,109.0650064945221
afroxlmr_orm_full_1024,afroxlmr,afrisenti,orm,full,1024,0.3386552032179503,0.30260058303528614,471.46834897994995
afroxlmr_orm_full_789,afroxlmr,afrisenti,orm,full,789,0.34555251910623813,0.30970307887835097,465.224684715271
afroxlmr_orm_full_123,afroxlmr,afrisenti,orm,full,123,0.24851531081574735,0.3581406299504417,853.7611527442932
afroxlmr_pcm_250_1024,afroxlmr,afrisenti,pcm,250,1024,0.6857027763217795,0.611861097185025,73.53579664230347
afroxlmr_pcm_250_789,afroxlmr,afrisenti,pcm,250,789,0.6753829090095513,0.5982960648935719,61.5705680847168
afroxlmr_pcm_250_456,afroxlmr,afrisenti,pcm,250,456,0.6540389133421884,0.5776237847438443,77.58675456047058
afroxlmr_pcm_250_123,afroxlmr,afrisenti,pcm,250,123,0.6888285887614204,0.5905243642876207,72.13374614715576
afroxlmr_pcm_250_42,afroxlmr,afrisenti,pcm,250,42,0.6362535636613261,0.557310703126333,73.1710295677185
afroxlmr_orm_full_42,afroxlmr,afrisenti,orm,full,42,0.3324755244569719,0.3882479731968224,723.9827888011932
afroxlmr_pcm_100_1024,afroxlmr,afrisenti,pcm,100,1024,0.6395583179358806,0.5674333508648105,67.61084175109863
afroxlmr_pcm_100_789,afroxlmr,afrisenti,pcm,100,789,0.6525814608526823,0.5329246223598002,66.35925698280334
afroxlmr_pcm_100_456,afroxlmr,afrisenti,pcm,100,456,0.6304147726073355,0.548792776407902,67.45266318321228
afroxlmr_pcm_100_123,afroxlmr,afrisenti,pcm,100,123,0.6584590184232133,0.564057974856184,65.35397624969482
afroxlmr_pcm_100_42,afroxlmr,afrisenti,pcm,100,42,0.6031196858677811,0.5170573715327627,63.637946367263794
afroxlmr_ibo_full_1024,afroxlmr,afrisenti,ibo,full,1024,0.7952312366429188,0.7806973833682204,1148.890679359436
afroxlmr_ibo_full_456,afroxlmr,afrisenti,ibo,full,456,0.7868874574605035,0.7803294183625367,1128.0432274341583
afroxlmr_ibo_full_789,afroxlmr,afrisenti,ibo,full,789,0.7904190436066644,0.7793346638106605,1126.243665933609
afroxlmr_ibo_full_42,afroxlmr,afrisenti,ibo,full,42,0.7847274280612578,0.7771356487061173,1141.3689167499542
afroxlmr_ibo_full_123,afroxlmr,afrisenti,ibo,full,123,0.7871319075327462,0.774421616310941,1010.9102499485016
afroxlmr_orm_750_1024,afroxlmr,afrisenti,orm,750,1024,0.33241934119127103,0.27620550966258844,58.25009512901306
afroxlmr_orm_750_789,afroxlmr,afrisenti,orm,750,789,0.28232664022137705,0.29480227879596893,59.228479623794556
afroxlmr_orm_750_456,afroxlmr,afrisenti,orm,750,456,0.28470360142116274,0.27200761725330486,50.40308594703674
afroxlmr_orm_750_123,afroxlmr,afrisenti,orm,750,123,0.2711101556126292,0.28066583596379735,49.82196569442749
afroxlmr_orm_750_42,afroxlmr,afrisenti,orm,750,42,0.3915049659881701,0.39594722598080273,87.75620150566101
afroxlmr_orm_500_1024,afroxlmr,afrisenti,orm,500,1024,0.325117523196079,0.2569698996144221,62.502262592315674
afroxlmr_orm_500_456,afroxlmr,afrisenti,orm,500,456,0.310726147818449,0.37530944464285104,92.01985120773315
afroxlmr_orm_500_789,afroxlmr,afrisenti,orm,500,789,0.3234070231334253,0.2792243709248135,56.56003665924072
afroxlmr_orm_500_123,afroxlmr,afrisenti,orm,500,123,0.27180327643588487,0.23974908531713518,53.71078085899353
afroxlmr_orm_500_42,afroxlmr,afrisenti,orm,500,42,0.41399731453932,0.3973518451701253,91.91291832923889
afroxlmr_orm_250_1024,afroxlmr,afrisenti,orm,250,1024,0.3397007290449913,0.2978311999655197,48.448885679244995
afroxlmr_orm_250_456,afroxlmr,afrisenti,orm,250,456,0.2778781323391933,0.3482608750020845,59.712703227996826
afroxlmr_orm_250_789,afroxlmr,afrisenti,orm,250,789,0.319578766387277,0.24271368074285657,40.5242018699646
afroxlmr_orm_250_123,afroxlmr,afrisenti,orm,250,123,0.257995690938172,0.21105520531441221,38.183547496795654
afroxlmr_orm_250_42,afroxlmr,afrisenti,orm,250,42,0.37310007869419876,0.37129025280217176,60.459083795547485
afroxlmr_orm_100_1024,afroxlmr,afrisenti,orm,100,1024,0.3578210473190346,0.3048554302818645,55.342292070388794
afroxlmr_orm_100_789,afroxlmr,afrisenti,orm,100,789,0.34858127754038665,0.27226382103599744,45.85958671569824
afroxlmr_orm_100_456,afroxlmr,afrisenti,orm,100,456,0.2691423878649058,0.2912541968483381,32.93156719207764
afroxlmr_orm_100_123,afroxlmr,afrisenti,orm,100,123,0.28647273329483486,0.2791756952371045,33.02406406402588
afroxlmr_orm_100_42,afroxlmr,afrisenti,orm,100,42,0.31362079775417406,0.2731900823187397,44.41882061958313
afroxlmr_hau_full_789,afroxlmr,afrisenti,hau,full,789,0.801335670616975,0.7860384703471811,1469.0858347415924
afroxlmr_ibo_750_1024,afroxlmr,afrisenti,ibo,750,1024,0.6418853924042779,0.6137626755086376,138.1399166584015
afroxlmr_hau_full_123,afroxlmr,afrisenti,hau,full,123,0.801047097913986,0.7857899530758858,1474.5430941581726
afroxlmr_ibo_750_789,afroxlmr,afrisenti,ibo,750,789,0.641513831273343,0.6027440505620062,142.73489904403687
afroxlmr_ibo_750_123,afroxlmr,afrisenti,ibo,750,123,0.6510166780141144,0.6076630323081601,144.357586145401
afroxlmr_ibo_750_456,afroxlmr,afrisenti,ibo,750,456,0.667479100639692,0.6023346782266837,137.1485242843628
afroxlmr_ibo_750_42,afroxlmr,afrisenti,ibo,750,42,0.6655462815247218,0.6257817861290035,147.4066343307495
afroxlmr_ibo_500_1024,afroxlmr,afrisenti,ibo,500,1024,0.6392946158676299,0.6032531814787607,134.5297727584839
afroxlmr_hau_full_42,afroxlmr,afrisenti,hau,full,42,0.7999644989798682,0.7925072249804647,1304.0191321372986
afroxlmr_hau_full_1024,afroxlmr,afrisenti,hau,full,1024,0.7977905603280214,0.774039466191856,1158.7321417331696
afroxlmr_ibo_500_789,afroxlmr,afrisenti,ibo,500,789,0.6250914963215636,0.5969566957281653,139.0985176563263
afroxlmr_hau_full_456,afroxlmr,afrisenti,hau,full,456,0.8040722661620087,0.7831552989853057,1227.845989704132
afroxlmr_ibo_500_456,afroxlmr,afrisenti,ibo,500,456,0.6434467955532563,0.6074591215758769,135.16059017181396
afroxlmr_ibo_500_123,afroxlmr,afrisenti,ibo,500,123,0.6387836833408699,0.5978002305976233,138.72294855117798
afroxlmr_ibo_500_42,afroxlmr,afrisenti,ibo,500,42,0.634864308677867,0.596650584335379,137.9998550415039
afroxlmr_ibo_250_1024,afroxlmr,afrisenti,ibo,250,1024,0.572177337677454,0.5252480101367208,98.1102237701416
afroxlmr_ibo_250_789,afroxlmr,afrisenti,ibo,250,789,0.5892440340669824,0.5515867134049283,100.9585440158844
afroxlmr_ibo_250_456,afroxlmr,afrisenti,ibo,250,456,0.583704221698463,0.5422431015308785,101.99218463897705
afroxlmr_ibo_250_123,afroxlmr,afrisenti,ibo,250,123,0.5837582133654687,0.5659535352708438,100.32675957679749
afroxlmr_ibo_250_42,afroxlmr,afrisenti,ibo,250,42,0.6019064418865757,0.5575435891544533,98.69299960136414
afroxlmr_ibo_100_1024,afroxlmr,afrisenti,ibo,100,1024,0.5053908422168505,0.45306452077313797,88.66238451004028
afroxlmr_ibo_100_789,afroxlmr,afrisenti,ibo,100,789,0.5329662111565414,0.45791183825742304,90.20602059364319
afroxlmr_ibo_100_456,afroxlmr,afrisenti,ibo,100,456,0.5152930216289423,0.5137370707409941,90.98208928108215
afroxlmr_ibo_100_123,afroxlmr,afrisenti,ibo,100,123,0.5068999138350929,0.49619251644564183,88.53901600837708
afroxlmr_ibo_100_42,afroxlmr,afrisenti,ibo,100,42,0.5238883021166401,0.4631917646174676,89.50478219985962
afroxlmr_hau_750_1024,afroxlmr,afrisenti,hau,750,1024,0.7081833797519007,0.668863133529837,144.58564734458923
afroxlmr_hau_750_789,afroxlmr,afrisenti,hau,750,789,0.715686040855415,0.6649344699329465,144.12885069847107
afroxlmr_hau_750_456,afroxlmr,afrisenti,hau,750,456,0.712293334700634,0.6787312628362008,146.2566854953766
afroxlmr_hau_750_42,afroxlmr,afrisenti,hau,750,42,0.7142355384576687,0.6776101087522626,142.93704891204834
afroxlmr_hau_750_123,afroxlmr,afrisenti,hau,750,123,0.6970007610481124,0.6012898547977441,115.13784170150757
afroxlmr_amh_full_1024,afroxlmr,afrisenti,amh,full,1024,0.6259580036219565,0.5217032999044368,462.11478424072266
afroxlmr_hau_500_1024,afroxlmr,afrisenti,hau,500,1024,0.6822582935071353,0.6497576092754231,140.31933498382568
afroxlmr_hau_500_789,afroxlmr,afrisenti,hau,500,789,0.7067924051413309,0.6539087329058272,138.58182835578918
afroxlmr_hau_500_456,afroxlmr,afrisenti,hau,500,456,0.711179772851054,0.6869466126183688,128.62994980812073
afroxlmr_hau_500_123,afroxlmr,afrisenti,hau,500,123,0.67894475409573,0.6149479581328803,140.87637758255005
afroxlmr_hau_500_42,afroxlmr,afrisenti,hau,500,42,0.6895210120360487,0.6610689504344829,140.2060627937317
afroxlmr_hau_250_1024,afroxlmr,afrisenti,hau,250,1024,0.6391108717728325,0.6034141631733961,89.34561371803284
afroxlmr_hau_250_789,afroxlmr,afrisenti,hau,250,789,0.6843367210834425,0.6479862941105806,102.6102385520935
afroxlmr_amh_full_789,afroxlmr,afrisenti,amh,full,789,0.6203692410614259,0.5467617026953155,381.3835165500641
afroxlmr_hau_250_456,afroxlmr,afrisenti,hau,250,456,0.6805861620501532,0.590543184104587,87.28651332855225
afroxlmr_hau_250_123,afroxlmr,afrisenti,hau,250,123,0.6723161831587601,0.5946511191356807,104.06208801269531
afroxlmr_hau_250_42,afroxlmr,afrisenti,hau,250,42,0.6537644120095086,0.6099804754576454,85.08396029472351
afroxlmr_hau_100_1024,afroxlmr,afrisenti,hau,100,1024,0.6200780110296824,0.575431581255542,81.66485834121704
afroxlmr_hau_100_789,afroxlmr,afrisenti,hau,100,789,0.6456345826909802,0.5752088696567822,101.28353691101074
afroxlmr_hau_100_456,afroxlmr,afrisenti,hau,100,456,0.6409910042637119,0.5917848606109037,91.26899075508118
afroxlmr_hau_100_123,afroxlmr,afrisenti,hau,100,123,0.6557758413073277,0.5606866192985545,96.17844080924988
afroxlmr_hau_100_42,afroxlmr,afrisenti,hau,100,42,0.6431826448120108,0.6023502230721041,91.18270683288574
xlmr_yor_full_789,xlmr,afrisenti,yor,full,789,0.7455774392715713,0.6711551627029654,1381.3707163333893
xlmr_yor_full_42,xlmr,afrisenti,yor,full,42,0.7454175605149317,0.6817759312751742,1352.6315286159515
