run_id,model,lang,n,seed,val_loss,val_f1_weighted,test_f1_weighted,train_seconds
scratch_lug_250_42,scratch,lug,250,42,0.9327996969223022,0.6491712152581718,0.6552323459426448,13.384731531143188
scratch_lug_100_42,scratch,lug,100,42,1.5747331380844116,0.471643865842895,0.46964019888741354,10.314190149307251
scratch_lug_100_123,scratch,lug,100,123,1.4711664915084839,0.41465777465777465,0.3743034095793399,9.815327405929565
scratch_lug_100_456,scratch,lug,100,456,1.3661088943481445,0.5748005129666571,0.5965318258588924,11.23589825630188
scratch_lug_100_789,scratch,lug,100,789,1.7875841856002808,0.041374373657838234,0.04034129573729302,7.811846971511841
scratch_lug_100_1024,scratch,lug,100,1024,1.4446535110473633,0.3580690627202255,0.3693419716076605,9.269363164901733
scratch_lug_250_123,scratch,lug,250,123,1.2487308979034424,0.2840909090909091,0.3481485410707655,11.323545217514038
scratch_lug_250_456,scratch,lug,250,456,0.960368275642395,0.6884055427088452,0.6506132093780803,13.023460388183594
scratch_lug_250_789,scratch,lug,250,789,1.1505162715911865,0.6567639743085323,0.6815897172037777,13.144294261932373
scratch_lug_250_1024,scratch,lug,250,1024,0.9916201233863831,0.6713434841021049,0.6930640534770267,12.938872575759888
scratch_lug_500_42,scratch,lug,500,42,1.1272166967391968,0.6251473565481991,0.6611359013800503,16.650176525115967
scratch_lug_500_123,scratch,lug,500,123,1.3728959560394287,0.5813178514113094,0.6108173785919995,16.44460129737854
scratch_lug_500_456,scratch,lug,500,456,0.8715487122535706,0.7569331243469174,0.7632904832747381,16.791368007659912
scratch_lug_500_789,scratch,lug,500,789,1.6327650547027588,0.5194221372026588,0.5347207464754967,17.09625482559204
scratch_lug_500_1024,scratch,lug,500,1024,1.3802049160003662,0.6083654558410576,0.6946343240347654,17.231876134872437
scratch_lug_750_42,scratch,lug,750,42,0.8806591629981995,0.7680331222914955,0.7825474958938082,23.067250728607178
scratch_lug_750_123,scratch,lug,750,123,0.9628024697303772,0.6401774412004592,0.6054043847229654,18.82932949066162
scratch_lug_750_456,scratch,lug,750,456,0.8612908124923706,0.6880188159793422,0.6824199741744001,20.74141764640808
scratch_lug_750_789,scratch,lug,750,789,1.222446322441101,0.7087514740555052,0.7374713358592756,22.127377033233643
scratch_lug_750_1024,scratch,lug,750,1024,1.0680036544799805,0.6438931393139313,0.6561082542594896,20.110605239868164
scratch_lug_full_42,scratch,lug,full,42,1.1290725469589233,0.4622739833266149,0.515038293224068,20.41593027114868
scratch_run_100_42,scratch,run,100,42,1.7320464849472046,0.6963123631266234,0.7053769131806935,14.140472412109375
scratch_run_100_123,scratch,run,100,123,1.3064533472061157,0.5209569069194009,0.4741574123385913,10.840780973434448
scratch_run_100_456,scratch,run,100,456,1.5244578123092651,0.31036866230174087,0.30459139143671365,9.844456911087036
scratch_run_100_789,scratch,run,100,789,1.6807066202163696,0.18411122144985106,0.15812396679462914,7.795228719711304
scratch_run_100_1024,scratch,run,100,1024,1.5458184480667114,0.4067448680351906,0.47986226336057447,10.496730327606201
scratch_run_250_42,scratch,run,250,42,1.169413685798645,0.5786428809678792,0.5449111605326424,13.558135986328125
scratch_run_250_123,scratch,run,250,123,1.0847225189208984,0.8143712461719163,0.7458981936891229,16.39235019683838
scratch_run_250_456,scratch,run,250,456,1.2305370569229126,0.6056295110453329,0.49311105528212346,13.66811490058899
scratch_run_250_789,scratch,run,250,789,1.2801055908203125,0.5475166094258191,0.5643320263034509,13.62046504020691
scratch_run_250_1024,scratch,run,250,1024,1.160753607749939,0.6948468198468198,0.7110708629830854,14.642344951629639
scratch_run_500_42,scratch,run,500,42,0.7720139026641846,0.7391580400276052,0.7134583842658377,18.373865604400635
scratch_run_500_123,scratch,run,500,123,0.9703474640846252,0.7915490651223632,0.7453062734685693,18.230243921279907
scratch_run_500_456,scratch,run,500,456,1.00761878490448,0.6652922017527476,0.6206913587243909,16.245518684387207
scratch_run_500_789,scratch,run,500,789,1.0951076745986938,0.7947244310073196,0.7380614068156858,20.72522258758545
scratch_run_500_1024,scratch,run,500,1024,0.9202947020530701,0.7132431634352067,0.70457663858733,17.605387210845947
scratch_run_750_42,scratch,run,750,42,1.0844635963439941,0.6196329480989039,0.6171462962607961,20.437246084213257
scratch_run_750_123,scratch,run,750,123,0.707283616065979,0.7915851767824766,0.7137478182536441,23.84000015258789
scratch_run_750_456,scratch,run,750,456,1.1008111238479614,0.6877519339353914,0.64647032834146,21.80566120147705
scratch_run_750_789,scratch,run,750,789,0.7323552966117859,0.7963539255992086,0.7682896682187798,24.211476802825928
scratch_run_750_1024,scratch,run,750,1024,0.7079835534095764,0.7590305571437648,0.7328940860671308,22.612146854400635
scratch_run_full_42,scratch,run,full,42,0.8446225523948669,0.6860020320623171,0.6442308309505899,26.53986620903015
scratch_sna_100_42,scratch,sna,100,42,1.3512272834777832,0.30042322741758676,0.29032973655896427,9.643616437911987
scratch_sna_100_123,scratch,sna,100,123,1.6259009838104248,0.5822175349849197,0.632964768652754,12.673903226852417
scratch_sna_100_456,scratch,sna,100,456,0.9240961670875549,0.5936402720080899,0.6250735994935875,11.559362649917603
scratch_sna_100_789,scratch,sna,100,789,1.1169153451919556,0.46313686313686314,0.49716239758239167,10.921162843704224
scratch_sna_100_1024,scratch,sna,100,1024,1.4777512550354004,0.7281333888018774,0.7131667750402881,14.2591552734375
scratch_sna_250_42,scratch,sna,250,42,0.5575194358825684,0.7843367664339531,0.8220746255179541,14.572659492492676
scratch_sna_250_123,scratch,sna,250,123,0.6560367345809937,0.8378518982858626,0.8602178356716078,15.382591724395752
scratch_sna_250_456,scratch,sna,250,456,0.6428370475769043,0.7709053011260959,0.8041950973875269,13.971715688705444
scratch_sna_250_789,scratch,sna,250,789,1.0860590934753418,0.4931286633535022,0.46160267366863444,13.910012245178223
scratch_sna_250_1024,scratch,sna,250,1024,0.5468395948410034,0.8067182154141899,0.7911000108894308,14.846350908279419
scratch_sna_500_42,scratch,sna,500,42,0.5860018134117126,0.7677916776772612,0.8049074104423787,17.343101739883423
scratch_sna_500_123,scratch,sna,500,123,0.9480620622634888,0.7393342654707542,0.7879421602105997,18.55875539779663
scratch_sna_500_456,scratch,sna,500,456,0.5486570000648499,0.8608825115230484,0.8548884623362766,19.256638765335083
scratch_sna_500_789,scratch,sna,500,789,0.9934167861938477,0.5228245089688748,0.5137509161224452,18.284034967422485
scratch_sna_500_1024,scratch,sna,500,1024,0.6205971240997314,0.7660587687025229,0.7868509558461275,18.227803945541382
scratch_sna_750_42,scratch,sna,750,42,0.6569987535476685,0.7286883785501804,0.7718966210937256,21.813450813293457
scratch_sna_750_123,scratch,sna,750,123,0.4845927059650421,0.8455623310013867,0.8383671261822587,22.804065942764282
scratch_sna_750_456,scratch,sna,750,456,0.555549144744873,0.7853623978976709,0.8213269860931386,23.38714337348938
scratch_sna_750_789,scratch,sna,750,789,0.6360793709754944,0.7611358239982262,0.7807521026878854,20.966676712036133
scratch_sna_750_1024,scratch,sna,750,1024,0.6254002451896667,0.7290453746425848,0.7487361420621192,21.67591094970703
scratch_sna_full_42,scratch,sna,full,42,0.6282781362533569,0.8599575519104811,0.8586814557516059,33.6190710067749
scratch_swa_100_42,scratch,swa,100,42,1.9334208965301514,0.4738742955006141,0.48778581097390583,14.165939807891846
scratch_swa_100_123,scratch,swa,100,123,2.3240294456481934,0.1058027507610785,0.08496898692118635,9.520752191543579
scratch_swa_100_456,scratch,swa,100,456,1.760457158088684,0.41224707497593355,0.4112493052173358,12.746328115463257
scratch_swa_100_789,scratch,swa,100,789,1.8620829582214355,0.17400143665151543,0.14686420791444707,11.630532503128052
scratch_swa_100_1024,scratch,swa,100,1024,2.280324935913086,0.12834541282242817,0.12446241953857679,11.76021957397461
scratch_swa_250_42,scratch,swa,250,42,1.4510670900344849,0.5383838305978874,0.5438508014904285,15.641927480697632
scratch_swa_250_123,scratch,swa,250,123,1.676842212677002,0.3189398127940249,0.307881597716749,14.368186473846436
scratch_swa_250_456,scratch,swa,250,456,1.4547476768493652,0.49586032162380195,0.4771729544378042,14.181823492050171
scratch_swa_250_789,scratch,swa,250,789,1.416853427886963,0.4563304200328748,0.4379051061183966,14.301757097244263
scratch_swa_250_1024,scratch,swa,250,1024,1.2253535985946655,0.6031911310060083,0.5600917366075893,15.329893589019775
