run_id,model,dataset,lang,n,seed,val_loss,val_f1_weighted,test_f1_weighted,train_seconds
scratch_amh_full_789,scratch,sib200,amh,full,789,8.139488220214844,0.5386443719261057,0.5386443719261057,12.12901520729065
scratch_amh_full_1024,scratch,sib200,amh,full,1024,5.7148237228393555,0.509010635873675,0.509010635873675,6.958632946014404
scratch_amh_full_456,scratch,sib200,amh,full,456,2.0449044704437256,0.461986723565671,0.461986723565671,5.293346881866455
scratch_amh_full_123,scratch,sib200,amh,full,123,8.36429214477539,0.5119260964457558,0.5119260964457558,10.235389709472656
scratch_amh_full_42,scratch,sib200,amh,full,42,2.91512393951416,0.5216292479450375,0.5216292479450375,5.619553565979004
scratch_amh_500_1024,scratch,sib200,amh,500,1024,7.735731601715088,0.5221145221145221,0.5221145221145221,7.4035117626190186
scratch_amh_500_789,scratch,sib200,amh,500,789,10.527854919433594,0.5094000601632425,0.5094000601632425,11.754997968673706
scratch_amh_500_456,scratch,sib200,amh,500,456,10.136075019836426,0.47466080392909665,0.47466080392909665,8.48164439201355
scratch_amh_500_123,scratch,sib200,amh,500,123,10.215320587158203,0.5252090725774936,0.5252090725774936,13.754245281219482
scratch_amh_500_42,scratch,sib200,amh,500,42,7.507694721221924,0.5290793467264056,0.5290793467264056,7.978483200073242
scratch_amh_250_1024,scratch,sib200,amh,250,1024,8.008256912231445,0.4110321465160175,0.4110321465160175,5.566154479980469
scratch_amh_250_789,scratch,sib200,amh,250,789,9.400704383850098,0.3792261779414578,0.3792261779414578,5.537707805633545
scratch_amh_250_123,scratch,sib200,amh,250,123,9.78750991821289,0.3961435437984674,0.3961435437984674,7.622180461883545
scratch_amh_250_456,scratch,sib200,amh,250,456,9.870402336120605,0.3742896742896743,0.3742896742896743,5.8231892585754395
scratch_amh_100_1024,scratch,sib200,amh,100,1024,5.606144428253174,0.3411911911911912,0.3411911911911912,3.755206346511841
scratch_amh_250_42,scratch,sib200,amh,250,42,2.640117645263672,0.37664447055751404,0.37664447055751404,4.1582581996917725
scratch_amh_100_789,scratch,sib200,amh,100,789,8.631128311157227,0.3615575039379266,0.3615575039379266,6.059458255767822
scratch_amh_100_456,scratch,sib200,amh,100,456,7.667052268981934,0.30241875637838367,0.30241875637838367,5.154085636138916
scratch_amh_100_123,scratch,sib200,amh,100,123,6.696094036102295,0.2674670322496409,0.2674670322496409,3.8808186054229736
scratch_amh_100_42,scratch,sib200,amh,100,42,8.050532341003418,0.36809309309309307,0.36809309309309307,5.744734287261963
scratch_yor_full_1024,scratch,sib200,yor,full,1024,6.654540061950684,0.5241098754256649,0.5241098754256649,8.321499824523926
scratch_yor_full_789,scratch,sib200,yor,full,789,4.597478866577148,0.5424036263463927,0.5424036263463927,7.6682047843933105
scratch_yor_full_456,scratch,sib200,yor,full,456,5.641345977783203,0.609059594353712,0.609059594353712,8.388733625411987
scratch_yor_full_123,scratch,sib200,yor,full,123,7.905807018280029,0.5460566161030558,0.5460566161030558,10.220797777175903
scratch_yor_full_42,scratch,sib200,yor,full,42,5.267971515655518,0.5451721070916117,0.5451721070916117,7.346388816833496
scratch_yor_500_1024,scratch,sib200,yor,500,1024,2.606905937194824,0.44856016023064077,0.44856016023064077,5.895859241485596
scratch_yor_500_456,scratch,sib200,yor,500,456,9.922614097595215,0.5689984101748808,0.5689984101748808,15.562950849533081
scratch_yor_500_789,scratch,sib200,yor,500,789,10.638927459716797,0.5576882987273186,0.5576882987273186,12.073829174041748
scratch_yor_500_42,scratch,sib200,yor,500,42,7.692178249359131,0.5550364584939053,0.5550364584939053,8.397969007492065
scratch_yor_500_123,scratch,sib200,yor,500,123,3.806061267852783,0.4934633728751376,0.4934633728751376,6.4785706996917725
scratch_yor_250_1024,scratch,sib200,yor,250,1024,11.455243110656738,0.38902017467382494,0.38902017467382494,6.012247323989868
scratch_yor_250_789,scratch,sib200,yor,250,789,9.035327911376953,0.4279185461848,0.4279185461848,6.909444808959961
scratch_yor_250_456,scratch,sib200,yor,250,456,9.217851638793945,0.43504018504018505,0.43504018504018505,5.027576923370361
scratch_yor_250_123,scratch,sib200,yor,250,123,6.2577924728393555,0.455039061618009,0.455039061618009,4.752852439880371
scratch_yor_250_42,scratch,sib200,yor,250,42,2.783155679702759,0.41556187766714087,0.41556187766714087,4.212140798568726
scratch_yor_100_1024,scratch,sib200,yor,100,1024,6.8934855461120605,0.318972543972544,0.318972543972544,4.259707450866699
scratch_yor_100_789,scratch,sib200,yor,100,789,5.572505474090576,0.3092168787819096,0.3092168787819096,3.957430362701416
