lang,scale,seed,classifier,best_feature_type,best_clf_params,val_f1,test_f1,n_train
run,500,456,naive_bayes,word_bigram,{'alpha': 0.01},0.876758,0.769325,500
run,full,42,naive_bayes,char_3to5,{'alpha': 0.01},0.907284,0.856784,1117
run,750,42,naive_bayes,char_3to5,{'alpha': 0.01},0.907284,0.837197,750
run,750,789,naive_bayes,word_bigram,{'alpha': 0.01},0.897527,0.844509,750
run,500,789,naive_bayes,word_bigram,{'alpha': 0.01},0.872686,0.802096,500
run,500,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.894587,0.82363,500
run,250,123,naive_bayes,word_unigram,{'alpha': 0.01},0.824881,0.764609,250
run,750,123,naive_bayes,word_bigram,{'alpha': 0.01},0.894905,0.840625,750
run,100,1024,naive_bayes,word_unigram,{'alpha': 0.01},0.799178,0.75211,100
run,100,789,naive_bayes,word_unigram,{'alpha': 0.01},0.742082,0.723126,100
run,100,123,naive_bayes,word_unigram,{'alpha': 0.01},0.815506,0.739726,100
run,250,1024,naive_bayes,char_3to5,{'alpha': 0.01},0.842776,0.774457,250
run,250,42,naive_bayes,char_3to5,{'alpha': 0.01},0.787418,0.756305,250
run,100,456,naive_bayes,word_unigram,{'alpha': 0.01},0.762599,0.700869,100
run,250,789,naive_bayes,word_unigram,{'alpha': 0.01},0.842199,0.795116,250
run,250,456,naive_bayes,word_unigram,{'alpha': 0.01},0.826175,0.759991,250
run,100,42,naive_bayes,word_unigram,{'alpha': 0.01},0.73358,0.68844,100
run,750,789,svm,char_3to5,{'C': 100.0},0.920293,0.872265,750
run,full,42,svm,char_3to5,{'C': 10.0},0.923944,0.897344,1117
run,750,123,svm,char_3to5,{'C': 1.0},0.886388,0.849029,750
run,500,123,svm,char_3to5,{'C': 10.0},0.879638,0.857282,500
run,500,789,svm,word_unigram,{'C': 10.0},0.897083,0.839787,500
run,750,42,svm,word_unigram,{'C': 10.0},0.914643,0.849447,750
run,250,42,svm,char_3to5,{'C': 100.0},0.862605,0.813146,250
run,250,789,svm,char_3to5,{'C': 100.0},0.87284,0.813567,250
run,500,456,svm,char_3to5,{'C': 1.0},0.891526,0.83126,500
run,750,456,svm,char_3to5,{'C': 100.0},0.904021,0.853077,750
run,750,1024,svm,char_3to5,{'C': 1.0},0.912898,0.841525,750
run,500,1024,svm,char_3to5,{'C': 10.0},0.9029,0.859838,500
run,100,42,svm,char_3to5,{'C': 100.0},0.77855,0.752266,100
run,100,789,svm,char_3to5,{'C': 100.0},0.764353,0.772476,100
run,250,1024,svm,char_3to5,{'C': 10.0},0.904301,0.816871,250
run,500,42,svm,word_unigram,{'C': 100.0},0.907227,0.850704,500
run,100,456,svm,char_3to5,{'C': 10.0},0.766139,0.716319,100
run,250,456,svm,char_3to5,{'C': 10.0},0.897142,0.808888,250
run,100,1024,svm,char_3to5,{'C': 100.0},0.824251,0.765154,100
run,250,123,svm,char_3to5,{'C': 10.0},0.870356,0.823129,250
run,100,123,svm,word_unigram,{'C': 10.0},0.807338,0.721484,100
run,full,42,xgboost,char_3to5,{'n_estimators': 200},0.892173,0.860943,1117
run,750,123,xgboost,char_3to5,{'n_estimators': 200},0.877745,0.823607,750
run,750,1024,xgboost,char_3to5,{'n_estimators': 300},0.881856,0.843613,750
run,750,456,xgboost,char_3to5,{'n_estimators': 300},0.883932,0.813383,750
run,750,42,xgboost,word_unigram,{'n_estimators': 500},0.874218,0.801076,750
run,750,789,xgboost,word_bigram,{'n_estimators': 500},0.876824,0.776834,750
run,500,42,xgboost,char_3to5,{'n_estimators': 100},0.857742,0.814048,500
run,500,456,xgboost,char_3to5,{'n_estimators': 100},0.870841,0.795021,500
run,500,123,xgboost,char_3to5,{'n_estimators': 200},0.843248,0.808571,500
run,500,1024,xgboost,char_3to5,{'n_estimators': 200},0.872569,0.799095,500
run,500,789,xgboost,word_bigram,{'n_estimators': 200},0.840438,0.755694,500
run,250,42,xgboost,char_3to5,{'n_estimators': 300},0.802287,0.741152,250
run,250,1024,xgboost,char_3to5,{'n_estimators': 500},0.808914,0.783927,250
run,250,456,xgboost,char_3to5,{'n_estimators': 100},0.789964,0.72135,250
run,250,123,xgboost,char_3to5,{'n_estimators': 100},0.797437,0.768467,250
run,250,789,xgboost,word_bigram,{'n_estimators': 300},0.79167,0.713456,250
run,100,42,xgboost,char_3to5,{'n_estimators': 200},0.779602,0.72795,100
run,100,789,xgboost,char_3to5,{'n_estimators': 200},0.741354,0.685842,100
run,100,1024,xgboost,char_3to5,{'n_estimators': 200},0.735207,0.69741,100
run,100,123,xgboost,word_unigram,{'n_estimators': 100},0.770742,0.674064,100
run,100,456,xgboost,char_3to5,{'n_estimators': 200},0.757459,0.716605,100
sna,500,123,naive_bayes,word_bigram,{'alpha': 0.1},0.902573,0.902584,500
sna,full,42,naive_bayes,char_3to5,{'alpha': 0.1},0.897595,0.934989,1288
sna,500,456,naive_bayes,char_3to5,{'alpha': 0.1},0.902735,0.926743,500
sna,750,1024,naive_bayes,char_3to5,{'alpha': 0.1},0.897476,0.926535,750
sna,750,789,naive_bayes,word_unigram,{'alpha': 0.5},0.891888,0.907351,750
sna,750,42,naive_bayes,word_bigram,{'alpha': 0.1},0.896569,0.910687,750
sna,250,123,naive_bayes,char_3to5,{'alpha': 0.01},0.903108,0.910466,250
sna,750,456,naive_bayes,char_3to5,{'alpha': 0.1},0.897362,0.937489,750
sna,500,42,naive_bayes,word_unigram,{'alpha': 0.1},0.881381,0.91344,500
sna,750,123,naive_bayes,word_unigram,{'alpha': 0.1},0.90239,0.905217,750
sna,100,789,naive_bayes,char_3to5,{'alpha': 0.01},0.865306,0.915867,100
sna,100,123,naive_bayes,word_unigram,{'alpha': 0.1},0.908319,0.875006,100
sna,500,789,naive_bayes,word_bigram,{'alpha': 0.1},0.891555,0.918475,500
sna,250,1024,naive_bayes,word_unigram,{'alpha': 0.01},0.897279,0.901326,250
sna,500,1024,naive_bayes,word_unigram,{'alpha': 0.1},0.881448,0.91886,500
sna,250,42,naive_bayes,char_3to5,{'alpha': 0.01},0.88756,0.916012,250
sna,250,456,naive_bayes,word_unigram,{'alpha': 0.01},0.902047,0.901885,250
sna,100,456,naive_bayes,char_3to5,{'alpha': 0.1},0.874946,0.894606,100
sna,250,789,naive_bayes,word_unigram,{'alpha': 0.5},0.880732,0.902038,250
sna,100,1024,naive_bayes,word_unigram,{'alpha': 0.01},0.869844,0.885117,100
sna,100,42,naive_bayes,word_unigram,{'alpha': 0.1},0.848741,0.861435,100
sna,500,456,svm,char_3to5,{'C': 1.0},0.919007,0.937469,500
sna,500,42,svm,char_3to5,{'C': 10.0},0.892031,0.926592,500
sna,full,42,svm,word_bigram,{'C': 10.0},0.924103,0.915924,1288
sna,750,1024,svm,char_3to5,{'C': 10.0},0.903018,0.921285,750
sna,750,456,svm,char_3to5,{'C': 1.0},0.924061,0.942985,750
sna,100,1024,svm,char_3to5,{'C': 1.0},0.862041,0.881187,100
sna,750,789,svm,word_unigram,{'C': 100.0},0.891841,0.915761,750
sna,500,789,svm,char_3to5,{'C': 100.0},0.90294,0.92121,500
sna,750,123,svm,char_3to5,{'C': 100.0},0.918461,0.921062,750
sna,500,1024,svm,char_3to5,{'C': 10.0},0.90331,0.932141,500
sna,750,42,svm,word_bigram,{'C': 10.0},0.913409,0.921492,750
sna,250,789,svm,char_3to5,{'C': 10.0},0.886773,0.902105,250
sna,250,42,svm,char_3to5,{'C': 10.0},0.913343,0.915807,250
sna,250,456,svm,char_3to5,{'C': 10.0},0.90241,0.920863,250
sna,250,123,svm,char_3to5,{'C': 10.0},0.90296,0.915437,250
sna,500,123,svm,word_unigram,{'C': 10.0},0.918751,0.926674,500
sna,250,1024,svm,char_3to5,{'C': 1.0},0.886449,0.909602,250
sna,100,456,svm,char_3to5,{'C': 0.1},0.852804,0.893865,100
sna,100,789,svm,char_3to5,{'C': 1.0},0.891736,0.915646,100
sna,100,123,svm,char_3to5,{'C': 1.0},0.902643,0.886099,100
sna,100,42,svm,char_3to5,{'C': 1.0},0.864861,0.899626,100
sna,full,42,xgboost,char_3to5,{'n_estimators': 300},0.896829,0.912875,1288
sna,750,123,xgboost,char_3to5,{'n_estimators': 300},0.886648,0.910583,750
sna,750,456,xgboost,char_3to5,{'n_estimators': 300},0.896968,0.92091,750
sna,750,789,xgboost,char_3to5,{'n_estimators': 500},0.907993,0.910323,750
sna,750,1024,xgboost,char_3to5,{'n_estimators': 300},0.87004,0.907622,750
sna,750,42,xgboost,char_3to5,{'n_estimators': 300},0.902545,0.913127,750
sna,500,42,xgboost,char_3to5,{'n_estimators': 300},0.870181,0.883037,500
sna,500,1024,xgboost,char_3to5,{'n_estimators': 100},0.902999,0.907819,500
sna,500,123,xgboost,char_3to5,{'n_estimators': 100},0.87588,0.893468,500
sna,500,456,xgboost,char_3to5,{'n_estimators': 100},0.892044,0.899265,500
sna,500,789,xgboost,char_3to5,{'n_estimators': 100},0.892047,0.912911,500
sna,250,1024,xgboost,char_3to5,{'n_estimators': 300},0.881193,0.880611,250
sna,250,123,xgboost,char_3to5,{'n_estimators': 300},0.880706,0.875545,250
sna,250,42,xgboost,char_3to5,{'n_estimators': 100},0.870851,0.867292,250
sna,250,456,xgboost,char_3to5,{'n_estimators': 100},0.90824,0.883355,250
sna,250,789,xgboost,char_3to5,{'n_estimators': 100},0.848906,0.892453,250
sna,100,42,xgboost,char_3to5,{'n_estimators': 100},0.793899,0.802526,100
sna,100,789,xgboost,char_3to5,{'n_estimators': 100},0.782925,0.843553,100
sna,100,456,xgboost,char_3to5,{'n_estimators': 200},0.795559,0.838569,100
sna,100,123,xgboost,char_3to5,{'n_estimators': 200},0.794789,0.830869,100
